Date,Rate,ISO Code From,ISO Code To
4/25/2014 Friday,4.97678,SGD,CNY
4/27/2014 Sunday,4.97868,SGD,CNY
4/28/2014 Monday,4.97502,SGD,CNY
4/29/2014 Tuesday,4.98274,SGD,CNY
4/30/2014 Wednesday,4.99326,SGD,CNY
5/1/2014 Thursday,4.99449,SGD,CNY
5/2/2014 Friday,4.99569,SGD,CNY
5/4/2014 Sunday,5.00320,SGD,CNY
5/5/2014 Monday,4.99505,SGD,CNY
5/6/2014 Tuesday,4.98922,SGD,CNY
5/7/2014 Wednesday,4.98946,SGD,CNY
5/8/2014 Thursday,4.99230,SGD,CNY
5/9/2014 Friday,4.98794,SGD,CNY
5/11/2014 Sunday,4.98896,SGD,CNY
5/12/2014 Monday,4.98804,SGD,CNY
5/13/2014 Tuesday,4.97615,SGD,CNY
5/14/2014 Wednesday,4.98070,SGD,CNY
5/15/2014 Thursday,4.97614,SGD,CNY
5/16/2014 Friday,4.98334,SGD,CNY
5/18/2014 Sunday,4.98233,SGD,CNY
5/19/2014 Monday,4.98747,SGD,CNY
5/20/2014 Tuesday,4.97996,SGD,CNY
5/21/2014 Wednesday,4.98260,SGD,CNY
5/22/2014 Thursday,4.98228,SGD,CNY
5/23/2014 Friday,4.97408,SGD,CNY
