SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
06:40,06:37,TIGERAIR SINGAPORE,TR2983,Guangzhou,2,34,Landed
06:45,06:27,TIGERAIR SINGAPORE,TR2665,Tiruchirapally,2,36,Landed
06:50,06:14,SINGAPORE AIRLINES LTD,SQ25,New York (John F Kennedy) via Frankfurt,3,46,Landed
07:00,06:29,JET AIRWAYS,9W20,New Delhi,3,48,Landed
07:00,06:39,SINGAPORE AIRLINES LTD,SQ377,Barcelona via Milan,3,45,Landed
07:00,07:02,CATHAY PACIFIC AIRWAYS,CX2710,Colombo,1,23,Landed
07:10,06:52,SINGAPORE AIRLINES LTD,SQ451,Male,2,35,Landed
07:10,06:55,SINGAPORE AIRLINES LTD,SQ327,Manchester via Munich,3,42,Landed
07:15,07:01,AIRASIA,AK701,Kuala Lumpur,1,20,Landed
07:20,06:57,SINGAPORE AIRLINES LTD,SQ317,London,3,47,Landed
07:20,08:13,AIR INDIA,AI342,Mumbai via Chennai,2,33,Landed
07:30,07:29,SINGAPORE AIRLINES LTD,SQ495,Dubai,3,43,Landed
07:35,,SINGAPORE AIRLINES LTD,SQ803,Beijing,,,Cancelled
07:40,07:37,SINGAPORE AIRLINES LTD,SQ469,Colombo,3,46,Landed
07:55,09:00,AIR INDIA,AI380,New Delhi,2,32,Landed
08:05,08:07,JET AIRWAYS,9W16,Chennai,3,44,Landed
08:10,08:16,SINGAPORE AIRLINES LTD,SQ951,Jakarta,3,42,Landed
08:10,08:19,FIREFLY,FY3525,Subang,2,37,Landed
08:15,07:48,EMIRATES AIR,EK433,Brisbane,1,16,Landed
08:15,08:10,TIGERAIR SINGAPORE,TR2653,Bangalore,2,34,Landed
08:20,08:03,INDONESIA AIRASIA,QZ260,Jakarta,1,17,Landed
08:20,08:49,SINGAPORE AIRLINES LTD,SQ423,Mumbai,3,42,Landed
08:30,,INDONESIA AIRASIA,QZ8501,Surabaya,1,20,Cancelled
08:30,08:31,SILKAIR (SINGAPORE) PTE LTD,MI319,Kuala Lumpur,2,31,Landed
08:30,08:46,JET AIRWAYS,9W12,Mumbai,3,44,Landed
08:35,08:29,SRI LANKAN AIRLINES LTD,UL306,Colombo,3,41,Landed
08:40,08:26,AIRASIA,AK703,Kuala Lumpur,1,21,Landed
08:45,08:34,TIGERAIR SINGAPORE,TR2729,Manila,2,35,Landed
08:50,08:37,TIGERAIR SINGAPORE,TR2649,Kochi,2,38,Landed
08:55,09:23,INDONESIA AIRASIA,QZ502,Bali-Denpasar,1,19,Landed
09:00,08:39,LION MENTARI AIRLINES,JT152,Jakarta,3,43,Landed
09:00,08:52,GARUDA INDONESIA,GA822,Jakarta,3,43,Landed
09:00,09:10,MALAYSIA AIRLINES,MH601,Kuala Lumpur,2,35,Landed
09:05,09:13,CEBU PACIFIC AIR,5J813,Manila,2,37,Landed
09:05,09:16,FIREFLY,FY3501,Subang,2,36,Landed
09:25,08:57,SINGAPORE AIRLINES LTD,SQ305,London,3,47,Landed
09:25,09:07,CHINA AIRLINES,CI752,Surabaya,1,22,Landed
09:40,09:21,PHILIPPINE AIRLINES,PR511,Manila,1,17,Landed
09:40,09:32,TIGERAIR MANDALA,RI1861,Jakarta,2,31,Landed
09:40,09:35,THAI AIRASIA,FD361,Bangkok (Don Mueang),1,20,Landed
09:45,09:51,JETSTAR,3K684,Kuala Lumpur,1,16,Landed
09:50,09:19,AIRASIA,AK705,Kuala Lumpur,1,21,Landed
09:50,09:27,INDONESIA AIRASIA,QZ262,Jakarta,1,19,Landed
09:50,09:41,SILKAIR (SINGAPORE) PTE LTD,MI321,Kuala Lumpur,2,35,Landed
09:55,10:02,AIR-INDIA EXPRESS,IX682,Chennai via Tiruchirapally,2,32,Landed
10:10,09:44,INDONESIA AIRASIA,QZ365,Bandung,1,18,Landed
10:20,10:33,AIRASIA,AK732,Langkawi,1,22,Landed
10:20,10:44,MALAYSIA AIRLINES,MH611,Kuala Lumpur,2,34,Landed
10:25,10:30,JETSTAR,3K162,Darwin,1,17,Landed
10:30,10:35,SINGAPORE AIRLINES LTD,SQ953,Jakarta,2,33,Landed
10:35,10:42,GARUDA INDONESIA,GA824,Jakarta,3,42,Landed
10:40,10:58,TIGERAIR SINGAPORE,TR2463,Kuala Lumpur,2,32,Landed
10:45,10:41,INDONESIA AIRASIA,QZ658,Yogyakarta,1,20,Landed
10:50,10:38,GARUDA INDONESIA,GA854,Surabaya,3,43,Landed
10:50,11:05,FIREFLY,FY3503,Subang,2,38,Landed
10:55,10:28,SCOOT,TZ221,Hong Kong,2,36,Landed
10:55,10:47,AIRASIA,AK751,Penang,1,16,Landed
11:05,11:10,SILKAIR (SINGAPORE) PTE LTD,MI233,Medan,2,35,Landed
11:05,12:45,LION MENTARI AIRLINES,JT150,Jakarta,3,41,Landed
11:10,10:53,SINGAPORE AIRLINES LTD,SQ915,Manila,2,31,Landed
11:10,11:12,AIRASIA,AK707,Kuala Lumpur,1,21,Landed
11:15,11:17,AIRASIA,AK775,Kuching,1,22,Landed
11:15,11:26,THAI AIRWAYS INTL LTD,TG403,Bangkok (Suvarnabhumi),1,19,Landed
11:20,11:08,ROYAL BRUNEI AIRLINES,BI421,Brunei,2,37,Landed
11:20,11:20,GARUDA INDONESIA,GA826,Jakarta,3,42,Landed
11:20,11:47,SINGAPORE AIRLINES LTD,SQ107,Kuala Lumpur,2,37,Landed
11:25,11:37,MALAYSIA AIRLINES,MH627,Kuala Lumpur,2,33,Landed
11:30,,TIGERAIR MANDALA,RI800,Jakarta,2,,Cancelled
11:30,11:23,TIGERAIR MANDALA,RI836,Bali-Denpasar,2,34,Landed
