SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
18:30,18:38,AIRASIA,AK717,Kuala Lumpur,1,18,Landed
18:30,19:15,JETSTAR,3K698,Hong Kong,1,20,Landed
18:35,18:07,SILKAIR (SINGAPORE) PTE LTD,MI295,Dili,2,32,Landed
18:35,18:13,JETSTAR INTERNATIONAL,JQ217,Melbourne via Auckland,1,23,Landed
18:40,18:31,JETSTAR,3K676,Penang,1,16,Landed
18:40,18:39,TIGERAIR SINGAPORE,TR2177,Chiang Mai,2,38,Landed
18:40,18:51,JETSTAR,3K602,Siem Reap,1,17,Landed
18:45,18:42,AIR NIUGINI,PX392,Port Moresby,1,21,Landed
18:50,18:47,JET AIRWAYS,9W22,Chennai,3,42,Landed
18:50,18:54,SINGAPORE AIRLINES LTD,SQ877,Taipei,3,44,Landed
18:55,18:36,SINGAPORE AIRLINES LTD,SQ977,Bangkok (Suvarnabhumi),2,34,Landed
18:55,19:02,SILKAIR (SINGAPORE) PTE LTD,MI588,Davao via Cebu,2,31,Landed
18:55,19:40,LION MENTARI AIRLINES,JT156,Jakarta,3,43,Landed
19:00,18:34,SINGAPORE AIRLINES LTD,SQ286,Auckland,2,37,Landed
19:00,19:00,SILKAIR (SINGAPORE) PTE LTD,MI339,Kuala Lumpur,2,36,Landed
19:05,18:45,ETIHAD AIRWAYS,EY473,Brisbane,2,33,Landed
19:10,18:57,PHILIPPINE AIRLINES,PR501,Manila,1,20,Landed
19:10,18:58,CATHAY PACIFIC AIRWAYS,CX635,Hong Kong,1,22,Landed
19:10,19:18,SINGAPORE AIRLINES LTD,SQ861,Hong Kong,3,47,Landed
19:15,19:33,TIGERAIR SINGAPORE,TR2995,Taipei,2,37,Landed
19:20,19:07,BANGKOK AIRWAYS,PG961,Koh Samui,1,21,Landed
19:20,19:20,GARUDA INDONESIA,GA834,Jakarta,3,41,Landed
19:25,19:09,SILKAIR (SINGAPORE) PTE LTD,MI351,Penang,2,38,Landed
19:25,19:25,VIETNAM AIRLINES,VN659,Ho Chi Minh,3,48,Landed
19:30,19:05,SINGAPORE AIRLINES LTD,SQ226,Perth,3,43,Landed
19:30,19:12,KOREAN AIR,KE643,Seoul,2,34,Landed
19:35,19:53,SINGAPORE AIRLINES LTD,SQ961,Jakarta,2,32,Landed
19:40,,CHINA EASTERN AIRWAYS,MU565,Shanghai,3,,Cancelled
19:40,19:23,JETSTAR,3K536,Phuket,1,19,Landed
19:40,19:28,THAI AIRWAYS INTL LTD,TG409,Bangkok (Suvarnabhumi),1,22,Landed
19:45,19:30,SINGAPORE AIRLINES LTD,SQ421,Mumbai,3,42,Landed
19:45,19:37,SINGAPORE AIRLINES LTD,SQ117,Kuala Lumpur,3,41,Landed
19:45,20:10,TIGERAIR SINGAPORE,TR2465,Kuala Lumpur,2,38,Landed
19:50,19:26,SINGAPORE AIRLINES LTD,SQ831,Shanghai,3,46,Landed
19:55,20:44,SCOOT,TZ201,Tokyo (Narita) via Taipei,2,36,Landed
20:00,20:15,AIRASIA,AK719,Kuala Lumpur,1,21,Landed
20:05,19:45,THAI AIRASIA,FD351,Bangkok (Don Mueang),1,23,Landed
20:05,20:31,INDONESIA AIRASIA,QZ268,Jakarta,1,17,Landed
20:10,19:51,CATHAY PACIFIC AIRWAYS,CX711,Hong Kong,1,20,Landed
20:15,20:20,INDONESIA AIRASIA,QZ508,Bali-Denpasar,1,18,Landed
20:15,20:22,SILKAIR (SINGAPORE) PTE LTD,MI137,Balikpapan,2,35,Landed
20:20,19:55,SINGAPORE AIRLINES LTD,SQ919,Manila,3,42,Landed
20:25,20:13,MALAYSIA AIRLINES,MH607,Kuala Lumpur,2,33,Landed
20:30,,TIGERAIR SINGAPORE,TR2423,Penang,2,,Cancelled
20:35,20:02,TIGERAIR SINGAPORE,TR2329,Ho Chi Minh,2,31,Landed
20:35,20:29,ROYAL BRUNEI AIRLINES,BI423,Brunei,2,31,Landed
20:35,20:39,LION MENTARI AIRLINES,JT158,Jakarta,3,42,Landed
20:40,20:18,SILKAIR (SINGAPORE) PTE LTD,MI755,Phuket,2,34,Landed
20:40,21:02,JETSTAR,3K724,Osaka via Taipei,1,22,Landed
20:45,20:57,SINGAPORE AIRLINES LTD,SQ965,Jakarta,2,33,Landed
20:45,21:27,CHINA AIRLINES,CI751,Taipei,1,21,Landed
20:50,20:26,SINGAPORE AIRLINES LTD,SQ236,Brisbane,3,41,Landed
20:50,20:48,AIRASIA,AK721,Kuala Lumpur,1,19,Landed
20:50,20:54,SILKAIR (SINGAPORE) PTE LTD,MI533,Yangon via Mandalay,2,35,Landed
20:55,20:32,JETSTAR,3K670,Kuala Lumpur,1,16,Landed
20:55,20:46,TIGERAIR MANDALA,RI802,Jakarta,2,36,Landed
20:55,20:50,EMIRATES AIR,EK404,Dubai,1,18,Landed
21:05,20:37,TIGERAIR SINGAPORE,TR2113,Bangkok (Suvarnabhumi),2,38,Landed
21:05,21:09,GARUDA INDONESIA,GA836,Jakarta,3,48,Landed
21:10,20:41,SILKAIR (SINGAPORE) PTE LTD,MI607,Phnom Penh,2,37,Landed
21:10,21:05,SILKAIR (SINGAPORE) PTE LTD,MI965,Shenzhen,2,35,Landed
21:10,21:41,FIREFLY,FY3521,Subang,2,38,Landed
21:15,,TIGERAIR SINGAPORE,TR2215,Yogyakarta,2,,Cancelled
21:15,21:00,SILKAIR (SINGAPORE) PTE LTD,MI517,Yangon,2,38,Landed
21:15,21:15,TIGERAIR SINGAPORE,TR2703,Clark,2,31,Landed
21:20,21:17,QANTAS AIRWAYS,QF5,Sydney,1,23,Landed
21:25,21:54,SINGAPORE AIRLINES LTD,SQ119,Kuala Lumpur,2,32,Landed
21:30,21:20,ASIANA AIRLINES,OZ751,Seoul,3,47,Landed
21:30,21:25,TIGERAIR MANDALA,RI834,Bali-Denpasar,2,36,Landed
21:30,21:33,INDONESIA AIRASIA,QZ270,Jakarta,1,19,Landed
21:35,21:12,TIGERAIR SINGAPORE,TR2905,Macau,2,37,Landed
21:35,22:02,SILKAIR (SINGAPORE) PTE LTD,MI636,Da Nang via Siem Reap,2,33,Landed
21:40,21:23,THAI AIRASIA,FD353,Bangkok (Don Mueang),1,20,Landed
21:40,21:30,SINGAPORE AIRLINES LTD,SQ222,Sydney,3,43,Landed
21:40,21:44,SINGAPORE AIRLINES LTD,SQ228,Melbourne,3,42,Landed
21:40,22:05,AIR CHINA,CA969,Beijing,1,22,Landed
21:40,22:18,SINGAPORE AIRLINES LTD,SQ963,Jakarta,2,32,Landed
21:45,21:39,GARUDA INDONESIA,GA840,Bali-Denpasar,3,48,Landed
21:45,22:09,BRITISH AIRWAYS,BA16,Sydney,1,18,Landed
21:45,22:25,CHINA EASTERN AIRWAYS,MU545,Shanghai,3,41,Landed
21:55,21:36,SINGAPORE AIRLINES LTD,SQ979,Bangkok (Suvarnabhumi),3,41,Landed
21:55,21:48,SILKAIR (SINGAPORE) PTE LTD,MI225,Surabaya,2,37,Landed
22:00,21:50,AIRASIA,AK757,Penang,1,23,Landed
22:00,21:59,SINGAPORE AIRLINES LTD,SQ609,Seoul,3,43,Landed
22:00,22:27,SHENZHEN AIRLINES,ZH9791,Jinan via Shenzhen,1,23,Landed
22:05,22:20,SINGAPORE AIRLINES LTD,SQ461,Male,3,45,Landed
22:10,22:03,SILKAIR (SINGAPORE) PTE LTD,MI127,Lombok,2,31,Landed
22:10,22:22,XIAMEN AIRLINES,MF873,Dalian via Xiamen,1,16,Landed
22:10,22:35,SINGAPORE AIRLINES LTD,SQ879,Taipei,3,43,Landed
22:10,22:54,SCOOT,TZ81,Nanjing,2,36,Landed
22:10,23:08,SINGAPORE AIRLINES LTD,SQ833,Shanghai,3,46,Landed
22:15,22:21,TIGERAIR SINGAPORE,TR2997,Taipei,2,35,Landed
22:20,22:07,SINGAPORE AIRLINES LTD,SQ921,Manila,3,44,Landed
22:20,22:12,SILKAIR (SINGAPORE) PTE LTD,MI377,Kuching,2,34,Landed
22:20,22:16,JETSTAR,3K688,Kuala Lumpur,1,21,Landed
22:20,22:58,SILKAIR (SINGAPORE) PTE LTD,MI237,Medan,2,34,Landed
22:30,21:52,PHILIPPINE AIRLINES,PR509,Manila,1,20,Landed
22:30,22:11,CHINA SOUTHERN AIRLINES,CZ351,Shenyang via Guangzhou,1,19,Landed
22:30,22:32,TIGERAIR SINGAPORE,TR2273,Jakarta,2,37,Landed
22:30,22:51,TIGERAIR SINGAPORE,TR2067,Hong Kong,2,38,Landed
22:35,22:14,SINGAPORE AIRLINES LTD,SQ214,Perth,3,42,Landed
22:35,22:44,SINGAPORE AIRLINES LTD,SQ947,Bali-Denpasar,2,35,Landed
22:35,23:12,ETIHAD AIRWAYS,EY470,Abu Dhabi,2,31,Landed
22:40,22:30,SINGAPORE AIRLINES LTD,SQ865,Hong Kong,3,47,Landed
22:40,22:33,SILKAIR (SINGAPORE) PTE LTD,MI353,Penang,2,38,Landed
22:40,22:41,SILKAIR (SINGAPORE) PTE LTD,MI341,Kuala Lumpur,2,33,Landed
22:40,22:47,SINGAPORE AIRLINES LTD,SQ185,Ho Chi Minh,3,42,Landed
22:45,23:00,TIGERAIR SINGAPORE,TR2159,Phuket,2,33,Landed
22:50,22:39,SILKAIR (SINGAPORE) PTE LTD,MI653,Hanoi,2,36,Landed
22:50,23:13,THY TURKISH AIRLINES,TK67,Jakarta,1,22,Landed
22:55,22:38,SINGAPORE AIRLINES LTD,SQ807,Beijing,2,31,Landed
22:55,22:49,THAI AIRWAYS INTL LTD,TG401,Bangkok (Suvarnabhumi),1,17,Landed
22:55,22:56,SILKAIR (SINGAPORE) PTE LTD,MI757,Phuket,2,37,Landed
23:00,23:26,SINGAPORE AIRLINES LTD,SQ967,Jakarta,3,45,Landed
23:05,23:01,KLM ROYAL DUTCH AIRLINES,KL836,Bali-Denpasar,1,21,Landed
23:05,23:21,SINGAPORE AIRLINES LTD,SQ633,Tokyo (Haneda),3,42,Landed
23:10,23:47,TIGERAIR SINGAPORE,TR2469,Kuala Lumpur,2,38,Landed
23:15,23:07,TIGERAIR SINGAPORE,TR2427,Penang,2,35,Landed
23:15,23:15,TIGERAIR SINGAPORE,TR2973,Ningbo,2,38,Landed
23:25,23:04,VALUAIR,VF210,Jakarta,1,16,Landed
23:25,23:10,SCOOT,TZ301,Bangkok (Suvarnabhumi),2,32,Landed
23:25,23:24,JETSTAR,3K678,Penang,1,20,Landed
23:30,23:18,TIGERAIR SINGAPORE,TR2109,Bangkok (Suvarnabhumi),2,37,Landed
23:30,23:33,GARUDA INDONESIA,GA838,Jakarta,3,48,Landed
23:35,23:31,CEBU PACIFIC AIR,5J547,Cebu,2,35,Landed
23:40,,TIGERAIR SINGAPORE,TR2827,Yangon,2,,Cancelled
23:40,23:29,TIGERAIR SINGAPORE,TR2289,Bali-Denpasar,2,36,Landed
23:40,23:42,SINGAPORE AIRLINES LTD,SQ871,Hong Kong,2,31,Landed
23:45,23:03,SCOOT,TZ7,Perth,2,32,Landed
23:50,23:38,KOREAN AIR,KE641,Seoul,2,34,Landed
23:50,23:45,EMIRATES AIR,EK405,Melbourne,1,19,Landed
23:55,23:54,SILKAIR (SINGAPORE) PTE LTD,MI975,Chongqing,2,33,Landed
23:55,23:56,CEBU PACIFIC AIR,5J803,Manila,2,37,Landed
23:59,23:58,MALAYSIA AIRLINES,MH609,Kuala Lumpur,2,31,Landed
