GANTRY NO.,LOCATION,START TIME,END TIME,PRICE
37,PIE eastbound after Adam Road,805,825,2
38,Mount Pleasant slip road into the eastbound PIE,805,825,2
42,PIE slip road into CTE,805,825,3
52,Citybound AYE - After Jurong Town Hall,805,825,1
53,Citybound AYE - Clementi Avenue 6 into AYE,805,825,1
74,Citybound AYE - Clementi Avenue 2 into AYE,805,825,1
40,Bendemeer Road southbound after Woodsville Interchange,825,830,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,825,830,0.5
39,Thomson Road southbound after Toa Payoh Rise,825,830,2
43,Dunearn Road eastbound after Dunkirk Avenue,825,830,0.5
44,Dunearn Road eastbound after Dunkirk Avenue,825,830,0.5
55,Upper Bt Timah Road southbound after Hume Ave,825,830,0.5
56,Lorong 6 Toa Payoh from Braddell Road,825,830,1
57,Kallang Bahru from PIE,825,830,1
58,Geylang Bahru westbound after Geylang Bahru Terrace,825,830,1
36,AYE between Portsdown Road and Alexandra Road,825,830,1
54,BKE between Dairy Farm Road and PIE,825,830,1.5
31,CTE after Braddell Road,825,830,3
33,CTE after Serangoon Road,825,830,3
34,CTE after Balestier slip road,825,830,3
68,CTE slip road to PIE (Changi) / Serangoon Road,825,830,3
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,825,830,0.5
30,ECP (City),825,830,1
90,MCE Westbound before exit to Central Boulevard,825,830,2
91,MCE Westbound before exit to Maxwell Rd,825,830,2
80,KPE slip road into citybound ECP,825,830,1
32,PIE after Kallang Bahru exit,825,830,1
45,PIE Slip Road into Bendeemer Rd,825,830,1
37,PIE eastbound after Adam Road,825,830,2
38,Mount Pleasant slip road into the eastbound PIE,825,830,2
42,PIE slip road into CTE,825,830,3
52,Citybound AYE - After Jurong Town Hall,825,830,1
53,Citybound AYE - Clementi Avenue 6 into AYE,825,830,1
74,Citybound AYE - Clementi Avenue 2 into AYE,825,830,1
40,Bendemeer Road southbound after Woodsville Interchange,830,835,1
71,Bendemeer Road southbound after Woodsville Tunnel,830,835,1
70,Geylang Road westbound before Kallang River,830,835,0.5
39,Thomson Road southbound after Toa Payoh Rise,830,835,2
43,Dunearn Road eastbound after Dunkirk Avenue,830,835,1
44,Dunearn Road eastbound after Dunkirk Avenue,830,835,1
56,Lorong 6 Toa Payoh from Braddell Road,830,835,1
57,Kallang Bahru from PIE,830,835,1
58,Geylang Bahru westbound after Geylang Bahru Terrace,830,835,1
59,Upper Boon Keng Road near Lorong 1 Geylang,830,835,0.5
36,AYE between Portsdown Road and Alexandra Road,830,835,1
54,BKE between Dairy Farm Road and PIE,830,835,1
31,CTE after Braddell Road,830,835,4.5
33,CTE after Serangoon Road,830,835,4.5
34,CTE after Balestier slip road,830,835,4.5
68,CTE slip road to PIE (Changi) / Serangoon Road,830,835,3.5
30,ECP (City),830,835,1.5
90,MCE Westbound before exit to Central Boulevard,830,835,2
91,MCE Westbound before exit to Maxwell Rd,830,835,2
80,KPE slip road into citybound ECP,830,835,1.5
32,PIE after Kallang Bahru exit,830,835,1.5
45,PIE Slip Road into Bendeemer Rd,830,835,1.5
37,PIE eastbound after Adam Road,830,835,2
38,Mount Pleasant slip road into the eastbound PIE,830,835,2
42,PIE slip road into CTE,830,835,4.5
65,PIE westbound before Eunos Link,830,835,0.5
52,Citybound AYE - After Jurong Town Hall,830,835,1.5
53,Citybound AYE - Clementi Avenue 6 into AYE,830,835,1.5
74,Citybound AYE - Clementi Avenue 2 into AYE,830,835,1.5
40,Bendemeer Road southbound after Woodsville Interchange,835,855,1.5
71,Bendemeer Road southbound after Woodsville Tunnel,835,855,1.5
70,Geylang Road westbound before Kallang River,835,855,0.5
39,Thomson Road southbound after Toa Payoh Rise,835,855,2
43,Dunearn Road eastbound after Dunkirk Avenue,835,855,1
44,Dunearn Road eastbound after Dunkirk Avenue,835,855,1
56,Lorong 6 Toa Payoh from Braddell Road,835,855,1
57,Kallang Bahru from PIE,835,855,1
58,Geylang Bahru westbound after Geylang Bahru Terrace,835,855,1
59,Upper Boon Keng Road near Lorong 1 Geylang,835,855,1
36,AYE between Portsdown Road and Alexandra Road,835,855,1
54,BKE between Dairy Farm Road and PIE,835,855,1
31,CTE after Braddell Road,835,855,6
33,CTE after Serangoon Road,835,855,6
34,CTE after Balestier slip road,835,855,6
68,CTE slip road to PIE (Changi) / Serangoon Road,835,855,4
30,ECP (City),835,855,2
90,MCE Westbound before exit to Central Boulevard,835,855,2
91,MCE Westbound before exit to Maxwell Rd,835,855,2
80,KPE slip road into citybound ECP,835,855,2
32,PIE after Kallang Bahru exit,835,855,1.5
45,PIE Slip Road into Bendeemer Rd,835,855,1.5
37,PIE eastbound after Adam Road,835,855,2
38,Mount Pleasant slip road into the eastbound PIE,835,855,2
42,PIE slip road into CTE,835,855,6
65,PIE westbound before Eunos Link,835,855,1
52,Citybound AYE - After Jurong Town Hall,835,855,2
53,Citybound AYE - Clementi Avenue 6 into AYE,835,855,2
