Date,Rate,ISO Code From,ISO Code To
4/22/2014 Tuesday,2.60219,SGD,MYR
4/23/2014 Wednesday,2.60533,SGD,MYR
4/24/2014 Thursday,2.59536,SGD,MYR
4/25/2014 Friday,2.60072,SGD,MYR
4/27/2014 Sunday,2.60084,SGD,MYR
4/28/2014 Monday,2.60159,SGD,MYR
4/29/2014 Tuesday,2.60383,SGD,MYR
4/30/2014 Wednesday,2.59562,SGD,MYR
5/1/2014 Thursday,2.59590,SGD,MYR
5/2/2014 Friday,2.60359,SGD,MYR
5/4/2014 Sunday,2.60880,SGD,MYR
5/5/2014 Monday,2.60102,SGD,MYR
5/6/2014 Tuesday,2.60717,SGD,MYR
5/7/2014 Wednesday,2.60471,SGD,MYR
5/8/2014 Thursday,2.61207,SGD,MYR
5/11/2014 Sunday,2.59383,SGD,MYR
5/12/2014 Monday,2.58964,SGD,MYR
5/13/2014 Tuesday,2.58894,SGD,MYR
5/14/2014 Wednesday,2.57193,SGD,MYR
5/15/2014 Thursday,2.56630,SGD,MYR
5/16/2014 Friday,2.57767,SGD,MYR
5/18/2014 Sunday,2.57785,SGD,MYR
5/19/2014 Monday,2.57004,SGD,MYR
5/20/2014 Tuesday,2.56946,SGD,MYR
5/21/2014 Wednesday,2.56815,SGD,MYR
5/22/2014 Thursday,2.56947,SGD,MYR
5/23/2014 Friday,2.55982,SGD,MYR
